Epoch,Total Epochs,Iteration,Total Iterations,Loss_D,Loss_G,D(x),D(G(z))_Real,D(G(z))_Fake
0,100,0,32,0.1806069016456604,3.601062297821045,0.1684722602367401,0,-3.601062297821045
1,100,0,32,-115.14778137207031,55.0638542175293,-51.605350494384766,0,-55.0638542175293
2,100,0,32,-189.33792114257812,91.28353118896484,-88.77645874023438,0,-91.28353118896484
3,100,0,32,-259.6681213378906,127.42070770263672,-125.17118835449219,0,-127.42070770263672
4,100,0,32,-321.228271484375,161.3118896484375,-155.82398986816406,0,-161.3118896484375
5,100,0,32,-404.24786376953125,198.45834350585938,-197.1658935546875,0,-198.45834350585938
6,100,0,32,-464.77227783203125,229.68304443359375,-227.22393798828125,0,-229.68304443359375
7,100,0,32,-550.074462890625,270.658447265625,-269.15484619140625,0,-270.658447265625
8,100,0,32,-599.274658203125,286.418701171875,-281.3260192871094,0,-286.418701171875
9,100,0,32,-670.340576171875,333.9376220703125,-327.23126220703125,0,-333.9376220703125
10,100,0,32,-468.30120849609375,305.21484375,-226.85464477539062,0,-305.21484375
11,100,0,32,-770.8502197265625,393.77923583984375,-385.260009765625,0,-393.77923583984375
12,100,0,32,-341.7696533203125,243.82858276367188,-235.49700927734375,0,-243.82858276367188
13,100,0,32,-366.83343505859375,302.353271484375,-385.6434631347656,0,-302.353271484375
14,100,0,32,-831.9541015625,436.88916015625,-424.7913513183594,0,-436.88916015625
15,100,0,32,-891.459228515625,458.32244873046875,-457.59881591796875,0,-458.32244873046875
16,100,0,32,-738.8607177734375,449.6871032714844,-449.5057373046875,0,-449.6871032714844
17,100,0,32,-656.44873046875,353.9222106933594,-524.575439453125,0,-353.9222106933594
18,100,0,32,-1231.748779296875,610.9822998046875,-598.4345703125,0,-610.9822998046875
19,100,0,32,-1295.043212890625,656.49609375,-640.453125,0,-656.49609375
20,100,0,32,-1351.304931640625,698.3643188476562,-649.5535888671875,0,-698.3643188476562
21,100,0,32,-1505.7625732421875,756.9720458984375,-738.1824951171875,0,-756.9720458984375
22,100,0,32,-1652.2188720703125,823.177978515625,-820.4932861328125,0,-823.177978515625
23,100,0,32,-1761.0726318359375,873.0633544921875,-869.7769775390625,0,-873.0633544921875
24,100,0,32,-1797.851318359375,844.6693115234375,-872.5722045898438,0,-844.6693115234375
25,100,0,32,-1610.5968017578125,910.045654296875,-885.57958984375,0,-910.045654296875
26,100,0,32,-1963.3770751953125,995.349609375,-949.556640625,0,-995.349609375
27,100,0,32,-1748.8270263671875,698.637451171875,-982.7646484375,0,-698.637451171875
28,100,0,32,-2256.908203125,1119.552978515625,-1116.8040771484375,0,-1119.552978515625
29,100,0,32,-2352.627685546875,1169.3316650390625,-1162.538330078125,0,-1169.3316650390625
30,100,0,32,-1555.4185791015625,1057.02490234375,-973.2340087890625,0,-1057.02490234375
31,100,0,32,-2538.86279296875,1261.50830078125,-1257.8446044921875,0,-1261.50830078125
32,100,0,32,-2570.99560546875,1285.146484375,-1268.150390625,0,-1285.146484375
33,100,0,32,-2780.4248046875,1376.14892578125,-1372.497314453125,0,-1376.14892578125
34,100,0,32,-2883.35888671875,1426.77734375,-1417.591064453125,0,-1426.77734375
35,100,0,32,-3004.71337890625,1490.984130859375,-1486.803466796875,0,-1490.984130859375
36,100,0,32,-3105.7421875,1541.555419921875,-1531.5126953125,0,-1541.555419921875
37,100,0,32,-3242.078125,1608.4112548828125,-1604.3145751953125,0,-1608.4112548828125
38,100,0,32,-3355.29443359375,1661.99853515625,-1656.1590576171875,0,-1661.99853515625
39,100,0,32,-3450.6552734375,1710.87890625,-1700.373291015625,0,-1710.87890625
40,100,0,32,-111.813232421875,-1442.511474609375,1487.80029296875,0,1442.511474609375
41,100,0,32,-1017.2080078125,1096.87353515625,132.24710083007812,0,-1096.87353515625
42,100,0,32,-2050.386962890625,879.7833862304688,-1620.58837890625,0,-879.7833862304688
43,100,0,32,-3022.880615234375,1681.73974609375,-1445.611083984375,0,-1681.73974609375
44,100,0,32,-3501.16357421875,1815.941162109375,-1775.161865234375,0,-1815.941162109375
45,100,0,32,-3716.53125,1873.450439453125,-1819.5557861328125,0,-1873.450439453125
46,100,0,32,-3287.0361328125,1755.17431640625,-1646.419677734375,0,-1755.17431640625
47,100,0,32,-2434.99365234375,1089.357177734375,-1796.8516845703125,0,-1089.357177734375
48,100,0,32,-3558.649169921875,1879.2574462890625,-1809.212890625,0,-1879.2574462890625
49,100,0,32,-3260.18896484375,1788.822265625,-1823.721435546875,0,-1788.822265625
50,100,0,32,-3949.876708984375,2073.111083984375,-1897.22119140625,0,-2073.111083984375
51,100,0,32,-4402.76513671875,2186.30078125,-2165.356689453125,0,-2186.30078125
52,100,0,32,-4357.92529296875,2204.826904296875,-2168.142333984375,0,-2204.826904296875
53,100,0,32,-4545.3095703125,2286.635009765625,-2256.093017578125,0,-2286.635009765625
54,100,0,32,-4788.66064453125,2382.06396484375,-2355.1123046875,0,-2382.06396484375
55,100,0,32,-4986.6748046875,2476.61328125,-2466.31689453125,0,-2476.61328125
56,100,0,32,-5003.39404296875,2507.55712890625,-2493.5947265625,0,-2507.55712890625
57,100,0,32,-4083.15869140625,2519.81982421875,-1628.7020263671875,0,-2519.81982421875
58,100,0,32,-5256.64453125,2661.51220703125,-2637.24169921875,0,-2661.51220703125
59,100,0,32,-5584.9384765625,2774.302734375,-2770.58740234375,0,-2774.302734375
60,100,0,32,-5741.24462890625,2841.7861328125,-2837.6357421875,0,-2841.7861328125
61,100,0,32,-5879.7001953125,2901.25927734375,-2896.529052734375,0,-2901.25927734375
62,100,0,32,-5996.4560546875,2945.33447265625,-2938.984375,0,-2945.33447265625
63,100,0,32,-6146.62109375,3021.77197265625,-3014.781982421875,0,-3021.77197265625
64,100,0,32,-6275.5126953125,3086.2080078125,-3077.0439453125,0,-3086.2080078125
65,100,0,32,-6421.89501953125,3147.6640625,-3138.4228515625,0,-3147.6640625
66,100,0,32,-6560.92041015625,3212.388671875,-3202.8798828125,0,-3212.388671875
67,100,0,32,-6695.646484375,3267.845703125,-3257.099853515625,0,-3267.845703125
68,100,0,32,-6844.169921875,3342.16162109375,-3332.1650390625,0,-3342.16162109375
69,100,0,32,-6994.8857421875,3415.99755859375,-3406.1318359375,0,-3415.99755859375
70,100,0,32,-7148.298828125,3490.58154296875,-3481.35400390625,0,-3490.58154296875
71,100,0,32,-7281.5771484375,3552.5263671875,-3539.476318359375,0,-3552.5263671875
72,100,0,32,-7419.11181640625,3628.626953125,-3614.622314453125,0,-3628.626953125
73,100,0,32,-7549.583984375,3695.80615234375,-3673.91259765625,0,-3695.80615234375
74,100,0,32,-7702.5400390625,3763.155517578125,-3749.1357421875,0,-3763.155517578125
75,100,0,32,-7873.26904296875,3848.01318359375,-3833.462890625,0,-3848.01318359375
76,100,0,32,-8037.88818359375,3924.99951171875,-3915.17578125,0,-3924.99951171875
77,100,0,32,-8167.7802734375,3989.686767578125,-3972.53271484375,0,-3989.686767578125
78,100,0,32,-8339.041015625,4072.867431640625,-4058.91015625,0,-4072.867431640625
79,100,0,32,-8493.8984375,4153.076171875,-4140.38671875,0,-4153.076171875
80,100,0,32,-8647.369140625,4229.4501953125,-4212.2919921875,0,-4229.4501953125
81,100,0,32,-8798.185546875,4314.080078125,-4295.736328125,0,-4314.080078125
82,100,0,32,-8982.783203125,4389.705078125,-4381.6650390625,0,-4389.705078125
83,100,0,32,-9158.296875,4473.7021484375,-4466.630859375,0,-4473.7021484375
84,100,0,32,-9297.251953125,4541.87109375,-4523.0556640625,0,-4541.87109375
85,100,0,32,-9438.8984375,4623.95654296875,-4601.166015625,0,-4623.95654296875
86,100,0,32,-9601.291015625,4700.69140625,-4685.8466796875,0,-4700.69140625
87,100,0,32,-9801.455078125,4796.77587890625,-4787.7734375,0,-4796.77587890625
88,100,0,32,-9975.09375,4871.7080078125,-4864.3408203125,0,-4871.7080078125
89,100,0,32,-10107.59765625,4946.4169921875,-4929.650390625,0,-4946.4169921875
90,100,0,32,-10253.798828125,5027.6708984375,-5003.8212890625,0,-5027.6708984375
91,100,0,32,-10368.142578125,5078.41455078125,-5056.7626953125,0,-5078.41455078125
92,100,0,32,-10668.8271484375,5225.0810546875,-5217.263671875,0,-5225.0810546875
