image_name,lpips_score
ChestCT_1.png,0.2695
ChestCT_2.png,0.2853
ChestCT_3.png,0.3034
ChestCT_4.png,0.2587
ChestCT_5.png,0.2690
ChestCT_6.png,0.2817
ChestCT_7.png,0.3058
ChestCT_8.png,0.3051
ChestCT_9.png,0.2565
ChestCT_10.png,0.2937
ChestCT_11.png,0.3082
ChestCT_12.png,0.2952
ChestCT_13.png,0.2520
ChestCT_14.png,0.2609
ChestCT_15.png,0.3075
ChestCT_16.png,0.3058
ChestCT_17.png,0.2462
ChestCT_18.png,0.4574
ChestCT_19.png,0.2528
ChestCT_20.png,0.4617
ChestCT_21.png,0.4582
ChestCT_22.png,0.2568
ChestCT_23.png,0.2501
ChestCT_24.png,0.3709
ChestCT_25.png,0.3349
ChestCT_26.png,0.2469
ChestCT_27.png,0.3845
ChestCT_28.png,0.2546
ChestCT_29.png,0.2679
ChestCT_30.png,0.4202
ChestCT_31.png,0.2986
ChestCT_32.png,0.3228
ChestCT_33.png,0.3079
ChestCT_34.png,0.2906
ChestCT_35.png,0.3244
ChestCT_36.png,0.2969
ChestCT_37.png,0.2924
ChestCT_38.png,0.3304
ChestCT_39.png,0.2982
ChestCT_40.png,0.2867
ChestCT_41.png,0.2837
ChestCT_42.png,0.3124
ChestCT_43.png,0.2905
ChestCT_44.png,0.3302
ChestCT_45.png,0.3235
ChestCT_46.png,0.2871
ChestCT_47.png,0.4200
ChestCT_48.png,0.3139
ChestCT_49.png,0.4712
ChestCT_50.png,0.4712
ChestCT_51.png,0.3216
ChestCT_52.png,0.4171
ChestCT_53.png,0.3014
ChestCT_54.png,0.3487
ChestCT_55.png,0.3443
ChestCT_56.png,0.2988
ChestCT_57.png,0.3300
ChestCT_58.png,0.3333
ChestCT_59.png,0.3286
ChestCT_60.png,0.3293
ChestCT_61.png,0.4229
ChestCT_62.png,0.3434
ChestCT_63.png,0.3269
ChestCT_64.png,0.3230
ChestCT_65.png,0.3358
ChestCT_66.png,0.4172
ChestCT_67.png,0.4354
ChestCT_68.png,0.3307
ChestCT_69.png,0.3264
ChestCT_70.png,0.4372
ChestCT_71.png,0.4658
ChestCT_72.png,0.4247
ChestCT_73.png,0.4547
ChestCT_74.png,0.4585
ChestCT_75.png,0.4326
ChestCT_76.png,0.4481
ChestCT_77.png,0.4624
ChestCT_78.png,0.4715
ChestCT_79.png,0.4398
ChestCT_80.png,0.2975
ChestCT_81.png,0.4631
ChestCT_82.png,0.4454
ChestCT_83.png,0.4536
ChestCT_84.png,0.4567
ChestCT_85.png,0.3053
ChestCT_86.png,0.3130
ChestCT_87.png,0.3163
ChestCT_88.png,0.3301
ChestCT_89.png,0.2994
ChestCT_90.png,0.2946
ChestCT_91.png,0.3270
ChestCT_92.png,0.3175
ChestCT_93.png,0.3172
ChestCT_94.png,0.3093
ChestCT_95.png,0.2790
ChestCT_96.png,0.3017
ChestCT_97.png,0.3114
ChestCT_98.png,0.2748
ChestCT_99.png,0.2984
ChestCT_100.png,0.2811
ChestCT_101.png,0.2807
ChestCT_102.png,0.3042
ChestCT_103.png,0.2866
ChestCT_104.png,0.2713
ChestCT_105.png,0.2713
ChestCT_106.png,0.2980
ChestCT_107.png,0.2777
ChestCT_108.png,0.3022
ChestCT_109.png,0.2996
ChestCT_110.png,0.2699
ChestCT_111.png,0.4301
ChestCT_112.png,0.2904
ChestCT_113.png,0.4744
ChestCT_114.png,0.4755
ChestCT_115.png,0.2988
ChestCT_116.png,0.4270
ChestCT_117.png,0.2813
ChestCT_118.png,0.3468
ChestCT_119.png,0.3389
ChestCT_120.png,0.2847
ChestCT_121.png,0.3121
ChestCT_122.png,0.3264
ChestCT_123.png,0.3213
ChestCT_124.png,0.3137
ChestCT_125.png,0.4288
ChestCT_126.png,0.3355
ChestCT_127.png,0.3108
ChestCT_128.png,0.3101
ChestCT_129.png,0.3286
ChestCT_130.png,0.4261
ChestCT_131.png,0.4405
ChestCT_132.png,0.3228
ChestCT_133.png,0.3148
ChestCT_134.png,0.4448
ChestCT_135.png,0.4620
ChestCT_136.png,0.4314
ChestCT_137.png,0.4570
ChestCT_138.png,0.4596
ChestCT_139.png,0.4395
ChestCT_140.png,0.4567
ChestCT_141.png,0.4683
ChestCT_142.png,0.4724
ChestCT_143.png,0.4456
ChestCT_144.png,0.2768
ChestCT_145.png,0.4660
ChestCT_146.png,0.4529
ChestCT_147.png,0.4595
ChestCT_148.png,0.4611
ChestCT_149.png,0.2814
ChestCT_150.png,0.3154
ChestCT_151.png,0.3206
ChestCT_152.png,0.3289
ChestCT_153.png,0.2833
ChestCT_154.png,0.2845
ChestCT_155.png,0.3272
ChestCT_156.png,0.3184
ChestCT_157.png,0.3182
ChestCT_158.png,0.3104
ChestCT_159.png,0.2484
ChestCT_160.png,0.2791
ChestCT_161.png,0.2964
ChestCT_162.png,0.2432
ChestCT_163.png,0.2518
ChestCT_164.png,0.2684
ChestCT_165.png,0.2898
ChestCT_166.png,0.2910
ChestCT_167.png,0.2357
ChestCT_168.png,0.2806
ChestCT_169.png,0.2940
ChestCT_170.png,0.2823
ChestCT_171.png,0.2348
ChestCT_172.png,0.2395
ChestCT_173.png,0.2897
ChestCT_174.png,0.2907
ChestCT_175.png,0.2296
ChestCT_176.png,0.4503
ChestCT_177.png,0.2329
ChestCT_178.png,0.4566
ChestCT_179.png,0.4500
ChestCT_180.png,0.2388
ChestCT_181.png,0.2377
ChestCT_182.png,0.3447
ChestCT_183.png,0.3279
ChestCT_184.png,0.2285
ChestCT_185.png,0.3827
ChestCT_186.png,0.2441
ChestCT_187.png,0.2590
ChestCT_188.png,0.4138
ChestCT_189.png,0.3399
ChestCT_190.png,0.2640
ChestCT_191.png,0.2638
ChestCT_192.png,0.3282
ChestCT_193.png,0.3394
ChestCT_194.png,0.3360
ChestCT_195.png,0.3433
ChestCT_196.png,0.3421
ChestCT_197.png,0.3154
ChestCT_198.png,0.3701
ChestCT_199.png,0.3428
ChestCT_200.png,0.3123
ChestCT_201.png,0.2787
ChestCT_202.png,0.3028
ChestCT_203.png,0.4636
ChestCT_204.png,0.2937
ChestCT_205.png,0.4249
ChestCT_206.png,0.4454
ChestCT_207.png,0.2987
ChestCT_208.png,0.2860
ChestCT_209.png,0.3003
ChestCT_210.png,0.2752
ChestCT_211.png,0.2944
ChestCT_212.png,0.3283
ChestCT_213.png,0.2734
ChestCT_214.png,0.2732
ChestCT_215.png,0.4022
ChestCT_216.png,0.3247
ChestCT_217.png,0.2538
ChestCT_218.png,0.2580
ChestCT_219.png,0.3143
ChestCT_220.png,0.3298
ChestCT_221.png,0.3247
ChestCT_222.png,0.3341
ChestCT_223.png,0.3313
ChestCT_224.png,0.3065
ChestCT_225.png,0.3398
ChestCT_226.png,0.3355
ChestCT_227.png,0.3033
ChestCT_228.png,0.2623
ChestCT_229.png,0.2889
ChestCT_230.png,0.4597
ChestCT_231.png,0.2901
ChestCT_232.png,0.4252
ChestCT_233.png,0.4444
ChestCT_234.png,0.2839
ChestCT_235.png,0.2680
ChestCT_236.png,0.2970
ChestCT_237.png,0.2708
ChestCT_238.png,0.2778
ChestCT_239.png,0.3224
ChestCT_240.png,0.2618
ChestCT_241.png,0.2607
ChestCT_242.png,0.3452
ChestCT_243.png,0.2638
ChestCT_244.png,0.2571
ChestCT_245.png,0.3096
ChestCT_246.png,0.2762
ChestCT_247.png,0.3882
ChestCT_248.png,0.3939
ChestCT_249.png,0.4445
ChestCT_250.png,0.4324
ChestCT_251.png,0.4365
ChestCT_252.png,0.3437
ChestCT_253.png,0.3977
ChestCT_254.png,0.3910
ChestCT_255.png,0.4106
ChestCT_256.png,0.3866
ChestCT_257.png,0.3891
ChestCT_258.png,0.4262
ChestCT_259.png,0.2406
ChestCT_260.png,0.2830
ChestCT_261.png,0.2845
ChestCT_262.png,0.2431
ChestCT_263.png,0.2559
ChestCT_264.png,0.2805
ChestCT_265.png,0.3135
ChestCT_266.png,0.3117
ChestCT_267.png,0.2405
ChestCT_268.png,0.2806
ChestCT_269.png,0.2976
ChestCT_270.png,0.2433
ChestCT_271.png,0.2365
ChestCT_272.png,0.3163
ChestCT_273.png,0.3175
ChestCT_274.png,0.2389
ChestCT_275.png,0.4929
ChestCT_276.png,0.2404
ChestCT_277.png,0.4627
ChestCT_278.png,0.4720
ChestCT_279.png,0.2258
ChestCT_280.png,0.2671
ChestCT_281.png,0.3279
ChestCT_282.png,0.2981
ChestCT_283.png,0.2513
ChestCT_284.png,0.4375
ChestCT_285.png,0.2701
ChestCT_286.png,0.2647
ChestCT_287.png,0.3498
ChestCT_288.png,0.4460
ChestCT_289.png,0.2489
ChestCT_290.png,0.2474
ChestCT_291.png,0.2672
ChestCT_292.png,0.2404
ChestCT_293.png,0.2702
ChestCT_294.png,0.2902
ChestCT_295.png,0.2991
ChestCT_296.png,0.3026
ChestCT_297.png,0.2257
ChestCT_298.png,0.2934
ChestCT_299.png,0.2998
ChestCT_300.png,0.2345
ChestCT_301.png,0.2511
ChestCT_302.png,0.2970
ChestCT_303.png,0.2945
ChestCT_304.png,0.2444
ChestCT_305.png,0.4573
ChestCT_306.png,0.2308
ChestCT_307.png,0.4520
ChestCT_308.png,0.4565
ChestCT_309.png,0.2439
ChestCT_310.png,0.2343
ChestCT_311.png,0.3271
ChestCT_312.png,0.2994
ChestCT_313.png,0.2374
