image_name,lpips_score,ssim_score,discarded_lpips_score,discarded_ssim_score
ChestCT_1.png,0.4218,0.3696,0.3944,0.4086
ChestCT_2.png,0.3915,0.4281,0.3850,0.4338
ChestCT_3.png,0.3921,0.4394,0.3796,0.4479
ChestCT_4.png,0.3498,0.3510,0.3927,0.4081
ChestCT_5.png,0.3440,0.4188,0.3804,0.4282
ChestCT_6.png,0.4335,0.3914,0.3789,0.4405
ChestCT_7.png,0.4381,0.3932,0.3561,0.4684
ChestCT_8.png,0.4353,0.3934,0.3681,0.4652
ChestCT_9.png,0.3492,0.3554,0.3876,0.4633
ChestCT_10.png,0.4305,0.3921,0.3807,0.4505
ChestCT_11.png,0.4477,0.3903,0.3469,0.4670
ChestCT_12.png,0.4340,0.3923,0.3799,0.4574
ChestCT_13.png,0.3440,0.3601,0.3937,0.4067
ChestCT_14.png,0.3364,0.4140,0.3985,0.3862
ChestCT_15.png,0.4424,0.3853,0.3603,0.4565
ChestCT_16.png,0.4413,0.3943,0.3546,0.4721
ChestCT_17.png,0.3350,0.4093,0.3893,0.4092
ChestCT_18.png,0.4327,0.4371,0.3842,0.4881
ChestCT_19.png,0.3444,0.3944,0.3969,0.4060
ChestCT_20.png,0.4341,0.4447,0.3747,0.5041
ChestCT_21.png,0.4401,0.4370,0.3815,0.4992
ChestCT_22.png,0.3422,0.4043,0.3981,0.3969
ChestCT_23.png,0.3239,0.4387,0.3675,0.4690
ChestCT_24.png,0.4029,0.4543,0.3949,0.4554
ChestCT_25.png,0.3986,0.4582,0.3687,0.4474
ChestCT_26.png,0.3256,0.4241,0.3765,0.4618
ChestCT_27.png,0.4028,0.4535,0.3747,0.4885
ChestCT_28.png,0.3213,0.4708,0.3616,0.5081
ChestCT_29.png,0.3328,0.4725,0.3855,0.4315
ChestCT_30.png,0.4193,0.4548,0.3683,0.5145
ChestCT_31.png,0.2173,0.6468,0.3874,0.4663
ChestCT_32.png,0.2731,0.5974,0.3896,0.4891
ChestCT_33.png,0.2984,0.5625,0.3923,0.4476
ChestCT_34.png,0.2154,0.6495,0.3827,0.4734
ChestCT_35.png,0.2678,0.5958,0.3942,0.4789
ChestCT_36.png,0.2066,0.6602,0.3852,0.4713
ChestCT_37.png,0.1934,0.6746,0.3772,0.4812
ChestCT_38.png,0.2643,0.5966,0.3920,0.4725
ChestCT_39.png,0.2426,0.6316,0.3769,0.4787
ChestCT_40.png,0.2176,0.6446,0.3843,0.4709
ChestCT_41.png,0.2183,0.6501,0.3816,0.4711
ChestCT_42.png,0.2493,0.6213,0.3851,0.4626
ChestCT_43.png,0.2231,0.6441,0.3819,0.4691
ChestCT_44.png,0.2559,0.6041,0.3908,0.4664
ChestCT_45.png,0.2553,0.6102,0.3894,0.4637
ChestCT_46.png,0.2196,0.6480,0.3834,0.4673
ChestCT_47.png,0.1974,0.6624,0.3466,0.5168
ChestCT_48.png,0.1525,0.7112,0.3880,0.4584
ChestCT_49.png,0.3310,0.5705,0.3644,0.5349
ChestCT_50.png,0.3327,0.5626,0.3656,0.5311
ChestCT_51.png,0.1363,0.7337,0.3806,0.4649
ChestCT_52.png,0.2120,0.6523,0.3437,0.5254
ChestCT_53.png,0.1647,0.6998,0.3828,0.4651
ChestCT_54.png,0.1847,0.6732,0.3486,0.5125
ChestCT_55.png,0.1710,0.6835,0.3518,0.5046
ChestCT_56.png,0.1725,0.6904,0.3773,0.4730
ChestCT_57.png,0.1262,0.7527,0.3822,0.4659
ChestCT_58.png,0.1075,0.7515,0.3635,0.4766
ChestCT_59.png,0.1244,0.7326,0.3640,0.4829
ChestCT_60.png,0.1012,0.7843,0.3813,0.4666
ChestCT_61.png,0.2313,0.6327,0.3374,0.5328
ChestCT_62.png,0.1568,0.6992,0.3520,0.4989
ChestCT_63.png,0.0000,1.0000,0.3735,0.4699
ChestCT_64.png,0.0567,0.8635,0.3813,0.4637
ChestCT_65.png,0.1425,0.7161,0.3567,0.4911
ChestCT_66.png,0.2223,0.6436,0.3421,0.5298
ChestCT_67.png,0.2890,0.6081,0.3302,0.5522
ChestCT_68.png,0.0902,0.7900,0.3640,0.4755
ChestCT_69.png,0.0523,0.8736,0.3643,0.4747
ChestCT_70.png,0.2759,0.6128,0.3213,0.5567
ChestCT_71.png,0.3625,0.5377,0.3985,0.4649
ChestCT_72.png,0.2457,0.6227,0.3333,0.5470
ChestCT_73.png,0.3738,0.4966,0.3441,0.5471
ChestCT_74.png,0.3743,0.4993,0.3434,0.5644
ChestCT_75.png,0.2641,0.6163,0.3248,0.5580
ChestCT_76.png,0.3011,0.5988,0.3410,0.5453
ChestCT_77.png,0.3579,0.5153,0.3481,0.5283
ChestCT_78.png,0.3386,0.5529,0.3640,0.5244
ChestCT_79.png,0.2937,0.6029,0.3352,0.5485
ChestCT_80.png,0.1916,0.6775,0.3825,0.4744
ChestCT_81.png,0.3632,0.5048,0.3459,0.5272
ChestCT_82.png,0.3148,0.5923,0.3427,0.5497
ChestCT_83.png,0.3182,0.5835,0.3543,0.5426
ChestCT_84.png,0.3669,0.5011,0.3435,0.5370
ChestCT_85.png,0.1877,0.6759,0.3824,0.4668
ChestCT_86.png,0.3054,0.5757,0.3812,0.4625
ChestCT_87.png,0.3070,0.5757,0.3784,0.4624
ChestCT_88.png,0.3064,0.5763,0.3807,0.4618
ChestCT_89.png,0.2353,0.6311,0.3834,0.4652
ChestCT_90.png,0.2415,0.6303,0.3807,0.4713
ChestCT_91.png,0.3080,0.5704,0.3762,0.4612
ChestCT_92.png,0.3013,0.5778,0.3855,0.4601
ChestCT_93.png,0.3058,0.5791,0.3829,0.4629
ChestCT_94.png,0.3001,0.5691,0.3867,0.4549
ChestCT_95.png,0.2328,0.5662,0.3766,0.4544
ChestCT_96.png,0.2888,0.5292,0.3922,0.4015
ChestCT_97.png,0.2990,0.5253,0.3850,0.4070
ChestCT_98.png,0.3493,0.3532,0.3766,0.4527
ChestCT_99.png,0.2855,0.5281,0.3978,0.4011
ChestCT_100.png,0.2230,0.5701,0.3793,0.4539
ChestCT_101.png,0.2162,0.5740,0.3798,0.4560
ChestCT_102.png,0.2819,0.5263,0.3778,0.4624
ChestCT_103.png,0.2632,0.5421,0.3748,0.4577
ChestCT_104.png,0.2329,0.5573,0.3811,0.4529
ChestCT_105.png,0.2349,0.5594,0.3784,0.4529
ChestCT_106.png,0.2642,0.5457,0.3763,0.4555
ChestCT_107.png,0.2439,0.5568,0.3757,0.4509
ChestCT_108.png,0.2684,0.5344,0.3727,0.4644
ChestCT_109.png,0.2728,0.5396,0.3719,0.4652
ChestCT_110.png,0.3499,0.3594,0.3716,0.4556
ChestCT_111.png,0.2236,0.5612,0.3489,0.4866
ChestCT_112.png,0.1737,0.6074,0.3743,0.4541
ChestCT_113.png,0.3355,0.5034,0.3553,0.5004
ChestCT_114.png,0.3379,0.5010,0.3596,0.5001
ChestCT_115.png,0.1737,0.6098,0.3704,0.4579
ChestCT_116.png,0.2354,0.5541,0.3479,0.4890
ChestCT_117.png,0.1916,0.5935,0.3758,0.4536
ChestCT_118.png,0.2074,0.5698,0.3543,0.4802
ChestCT_119.png,0.2029,0.5672,0.3514,0.4782
ChestCT_120.png,0.2017,0.5845,0.3737,0.4543
ChestCT_121.png,0.1571,0.6259,0.3722,0.4530
ChestCT_122.png,0.1476,0.6170,0.3635,0.4563
ChestCT_123.png,0.1618,0.6040,0.3632,0.4620
ChestCT_124.png,0.1368,0.6429,0.3701,0.4538
ChestCT_125.png,0.2482,0.5428,0.3423,0.4912
ChestCT_126.png,0.1910,0.5790,0.3528,0.4715
ChestCT_127.png,0.0508,0.8279,0.3717,0.4491
ChestCT_128.png,0.0924,0.7148,0.3770,0.4464
ChestCT_129.png,0.1784,0.5931,0.3569,0.4655
ChestCT_130.png,0.2425,0.5507,0.3460,0.4913
ChestCT_131.png,0.2970,0.5260,0.3300,0.5025
ChestCT_132.png,0.1285,0.6466,0.3663,0.4516
ChestCT_133.png,0.0930,0.7195,0.3676,0.4483
ChestCT_134.png,0.2894,0.5305,0.3229,0.5116
ChestCT_135.png,0.3664,0.4784,0.3954,0.4352
ChestCT_136.png,0.2623,0.5396,0.3370,0.5047
ChestCT_137.png,0.3620,0.4738,0.3466,0.5119
ChestCT_138.png,0.3658,0.4709,0.3433,0.5265
ChestCT_139.png,0.2818,0.5332,0.3254,0.5136
ChestCT_140.png,0.3089,0.5262,0.3380,0.5056
ChestCT_141.png,0.3516,0.4855,0.3505,0.4942
ChestCT_142.png,0.3433,0.4898,0.3576,0.4866
ChestCT_143.png,0.3004,0.5232,0.3417,0.4973
ChestCT_144.png,0.2144,0.5783,0.3763,0.4589
ChestCT_145.png,0.3558,0.4756,0.3470,0.4933
ChestCT_146.png,0.3185,0.5197,0.3455,0.5023
ChestCT_147.png,0.3260,0.5157,0.3455,0.5088
ChestCT_148.png,0.3612,0.4747,0.3471,0.5035
ChestCT_149.png,0.2136,0.5811,0.3734,0.4560
ChestCT_150.png,0.3033,0.5312,0.3679,0.4172
ChestCT_151.png,0.3037,0.5337,0.3670,0.4188
ChestCT_152.png,0.3055,0.5309,0.3697,0.4131
ChestCT_153.png,0.2495,0.5510,0.3756,0.4490
ChestCT_154.png,0.2591,0.5440,0.3756,0.4512
ChestCT_155.png,0.3096,0.5261,0.3659,0.4132
ChestCT_156.png,0.3030,0.5340,0.3756,0.4139
ChestCT_157.png,0.3018,0.5361,0.3679,0.4208
ChestCT_158.png,0.3036,0.5284,0.3764,0.4110
ChestCT_159.png,0.4188,0.3515,0.3847,0.3954
ChestCT_160.png,0.3901,0.3961,0.3863,0.4024
ChestCT_161.png,0.3915,0.4097,0.3803,0.4138
ChestCT_162.png,0.3465,0.3530,0.3848,0.3897
ChestCT_163.png,0.3408,0.3949,0.3699,0.4156
ChestCT_164.png,0.4314,0.3714,0.3678,0.4277
ChestCT_165.png,0.4368,0.3597,0.3433,0.4426
ChestCT_166.png,0.4348,0.3600,0.3563,0.4389
