Epoch,Total Epochs,Iteration,Total Iterations,Loss_D,Loss_G,D(x),D(G(z))_Real,D(G(z))_Fake
0,1000,0,32,0.29897555708885193,3.553542375564575,0.03028349205851555,0,-3.553542375564575
1,1000,0,32,-111.4776611328125,53.261451721191406,-49.41986846923828,0,-53.261451721191406
2,1000,0,32,-183.1561279296875,89.14034271240234,-84.73519897460938,0,-89.14034271240234
3,1000,0,32,-239.47238159179688,120.14399719238281,-114.43141174316406,0,-120.14399719238281
4,1000,0,32,-319.2012634277344,156.284423828125,-153.16726684570312,0,-156.284423828125
5,1000,0,32,-375.94989013671875,176.90896606445312,-189.71438598632812,0,-176.90896606445312
6,1000,0,32,-467.9947509765625,231.66934204101562,-230.22674560546875,0,-231.66934204101562
7,1000,0,32,-533.8023681640625,267.8362121582031,-261.4861145019531,0,-267.8362121582031
8,1000,0,32,-625.482177734375,308.0321044921875,-306.5377197265625,0,-308.0321044921875
9,1000,0,32,-702.24755859375,346.1160888671875,-344.75830078125,0,-346.1160888671875
10,1000,0,32,-781.9569702148438,384.73431396484375,-383.20623779296875,0,-384.73431396484375
11,1000,0,32,-839.1807250976562,410.46282958984375,-408.56890869140625,0,-410.46282958984375
12,1000,0,32,-936.4230346679688,462.1567077636719,-460.5401611328125,0,-462.1567077636719
13,1000,0,32,-1017.3890991210938,501.4029541015625,-500.30010986328125,0,-501.4029541015625
14,1000,0,32,-1094.1591796875,540.836669921875,-536.5782470703125,0,-540.836669921875
15,1000,0,32,-1178.503662109375,580.4741821289062,-578.2285766601562,0,-580.4741821289062
16,1000,0,32,-690.4033203125,567.025634765625,-578.97998046875,0,-567.025634765625
17,1000,0,32,-1332.828369140625,658.7720947265625,-657.0302734375,0,-658.7720947265625
18,1000,0,32,-1419.80029296875,702.116455078125,-699.99365234375,0,-702.116455078125
19,1000,0,32,-1516.7557373046875,748.41552734375,-746.4459228515625,0,-748.41552734375
20,1000,0,32,-1608.411865234375,793.7288208007812,-791.851806640625,0,-793.7288208007812
21,1000,0,32,-1697.1712646484375,836.314453125,-833.8623657226562,0,-836.314453125
22,1000,0,32,-1715.5992431640625,862.4268188476562,-828.9893798828125,0,-862.4268188476562
23,1000,0,32,-1850.353515625,923.7684936523438,-911.4993896484375,0,-923.7684936523438
24,1000,0,32,-1977.01611328125,977.4548950195312,-975.463623046875,0,-977.4548950195312
25,1000,0,32,-2074.266357421875,1023.95458984375,-1019.475341796875,0,-1023.95458984375
26,1000,0,32,-1567.23291015625,805.1013793945312,-975.03564453125,0,-805.1013793945312
27,1000,0,32,-2245.636962890625,1108.493896484375,-1105.357177734375,0,-1108.493896484375
28,1000,0,32,-2348.696533203125,1160.736572265625,-1156.9619140625,0,-1160.736572265625
29,1000,0,32,-2449.741943359375,1208.1673583984375,-1203.741943359375,0,-1208.1673583984375
30,1000,0,32,-2556.212890625,1260.88720703125,-1257.2041015625,0,-1260.88720703125
31,1000,0,32,-2657.128173828125,1307.950439453125,-1304.2774658203125,0,-1307.950439453125
32,1000,0,32,-2759.7529296875,1357.271728515625,-1350.95849609375,0,-1357.271728515625
33,1000,0,32,-2119.483642578125,1370.009033203125,-1344.0634765625,0,-1370.009033203125
34,1000,0,32,-2962.4482421875,1465.1947021484375,-1462.264892578125,0,-1465.1947021484375
35,1000,0,32,-3074.004638671875,1517.8013916015625,-1514.8011474609375,0,-1517.8013916015625
36,1000,0,32,-3178.693359375,1566.001953125,-1563.291259765625,0,-1566.001953125
37,1000,0,32,-3289.2158203125,1617.0721435546875,-1614.38427734375,0,-1617.0721435546875
38,1000,0,32,-3404.257080078125,1673.568115234375,-1670.228515625,0,-1673.568115234375
39,1000,0,32,-3516.08154296875,1725.907958984375,-1722.310546875,0,-1725.907958984375
40,1000,0,32,-3626.73828125,1781.9998779296875,-1778.41455078125,0,-1781.9998779296875
41,1000,0,32,-3744.246826171875,1836.8734130859375,-1833.29833984375,0,-1836.8734130859375
42,1000,0,32,-3857.25048828125,1892.906982421875,-1889.508056640625,0,-1892.906982421875
43,1000,0,32,-3977.84765625,1950.746337890625,-1947.81982421875,0,-1950.746337890625
44,1000,0,32,-4090.2607421875,2003.9024658203125,-2000.40966796875,0,-2003.9024658203125
45,1000,0,32,-4204.94140625,2062.71484375,-2057.215576171875,0,-2062.71484375
46,1000,0,32,-4319.14990234375,2117.231689453125,-2114.32373046875,0,-2117.231689453125
